seedResourceAcquisitionFitness,turn,seedPopulation,error
1.1,11,2.73,1.236627454221632
1.1,12,2.87,1.3571846364223272
1.1,13,3.195,1.5057807146420457
1.1,14,3.58,1.7139777998098344
1.1,15,3.835,1.7911533820974466
1.1,16,4.14,1.9420659727835483
1.1,17,4.24,2.046223623857776
1.1,18,4.645,2.2754137115614435
1.1,19,4.46,2.094898393138119
1.1,20,5.05,2.409175089188381
1.1,21,5.29,2.5440529905872387
1.1,22,5.46,2.680338217541391
1.1,23,5.82,2.7826563674774136
1.1,24,6.015,2.8374181827561986
1.1,25,6.47,3.027882142068348
1.1,26,6.635,3.1466355178843464
1.1,27,7.16,3.44788198866709
1.1,28,6.965,3.2961244929485796
1.1,29,7.435,3.5118566862298906
1.1,30,7.78,3.683983452264912
1.1,31,8.285,3.9286834247364517
1.1,32,8.57,4.074800355099487
1.1,33,8.565,4.049445244380177
1.1,34,8.745,4.095001445672387
1.1,35,8.985,4.174928954969063
1.1,36,9.455,4.325315106159485
1.1,37,9.47,4.261768159277416
1.1,38,10.28,4.569907397371109
1.1,39,10.935,4.85624362948299
1.1,40,11.275,4.979016662555346
1.1,41,11.715,5.132962072364122
1.1,42,11.78,5.20506081760365
1.1,43,11.39,4.972544569595274
1.1,44,12.06,5.2469725107092575
1.1,45,12.06,5.2144049121329425
1.1,46,12.435,5.421878315042117
1.1,47,12.575,5.432845885246154
1.1,48,13.1,5.628349120441603
1.1,49,13.13,5.639310750371191
1.1,50,13.45,5.82731924753133
1.15,0,1.0,0.0
1.15,1,0.935,0.18129657580711211
1.15,2,1.085,0.2681693772532461
1.15,3,1.225,0.3533853342490971
1.15,4,1.525,0.5205908106179347
1.15,5,2.02,0.7016381246786494
1.15,6,2.325,0.8423665813808978
1.15,7,2.52,0.931752622990901
1.15,8,2.84,1.0932021064602568
1.15,9,3.36,1.3528671395169973
1.15,10,3.685,1.427388028527253
1.15,11,4.05,1.6449801343842996
1.15,12,4.48,1.8122528928690658
1.15,13,5.02,2.08959617709711
1.15,14,5.515,2.3365609779955734
1.15,15,6.095,2.520208917701767
1.15,16,6.4,2.6997099689081057
1.15,17,6.98,2.9392097321502026
1.15,18,7.29,3.0587140568741775
1.15,19,7.645,3.1744364781463084
1.15,20,8.505,3.3726153291768446
1.15,21,8.985,3.6617330875324683
1.15,22,9.645,3.8230851048001204
1.15,23,10.495,4.10592351903597
1.15,24,10.395,4.038424641651137
1.15,25,11.34,4.468653323204734
1.15,26,11.595,4.524013471497522
1.15,27,12.325,4.750884366950235
1.15,28,13.175,5.049756751079002
1.15,29,13.315,4.993143203497839
1.15,30,14.045,5.271278988016446
1.15,31,14.515,5.4385992298655275
1.15,32,15.165,5.628637264618462
1.15,33,15.955,5.8365500570011495
1.15,34,15.93,5.7865794616713835
1.15,35,16.3,5.843642193128009
1.15,36,16.385,5.8601582171062585
1.15,37,16.475,5.88082018547933
1.15,38,18.145,6.427904418777505
1.15,39,18.205,6.446814930468676
1.15,40,18.45,6.493459533108091
1.15,41,18.57,6.541909449523921
1.15,42,19.275,6.759305364119173
1.15,43,18.945,6.60945445784958
1.15,44,19.87,6.891638642586209
1.15,45,19.95,6.894897729464127
1.15,46,20.11,6.938544772519357
1.15,47,20.285,6.959087513042732
1.15,48,20.05,6.868770144938193
1.15,49,20.66,7.0462807542459664
1.15,50,20.33,6.934582905756685
1.2,0,1.0,0.0
1.2,1,1.17,0.20372676723417626
1.2,2,1.425,0.3290804657827522
1.2,3,1.685,0.44375248377855137
1.2,4,1.985,0.5450413113260761
1.2,5,2.125,0.6546705937905659
1.2,6,2.555,0.8456603932897626
1.2,7,3.095,1.091707674736862
1.2,8,3.435,1.2119512965773005
1.2,9,4.375,1.6122549059665494
1.2,10,5.065,1.8613889210150592
1.2,11,5.715,2.04923187864616
1.2,12,6.39,2.3134324448315864
1.2,13,7.365,2.5651288162468706
1.2,14,8.145,2.90312060996734
1.2,15,8.845,3.1466313007444775
1.2,16,9.415,3.294307314846429
1.2,17,10.325,3.5490374713895028
1.2,18,11.395,3.9338950892476587
1.2,19,12.28,4.144050669525653
1.2,20,13.345,4.5329691705590225
1.2,21,14.17,4.725509971667428
1.2,22,15.31,5.1735834543054775
1.2,23,16.07,5.35380745368238
1.2,24,17.06,5.628426923033389
1.2,25,18.165,5.8873557541004935
1.2,26,18.82,6.09143493952385
1.2,27,19.7,6.33242894412736
1.2,28,19.96,6.3437043811168525
1.2,29,20.86,6.572556432600795
1.2,30,21.085,6.591626643936449
1.2,31,22.41,6.970371859626704
1.2,32,22.49,6.88397284754128
1.2,33,23.23,7.132110632581952
1.2,34,24.15,7.33670051615352
1.2,35,24.27,7.3742468317767305
1.2,36,25.33,7.663646502449794
1.2,37,24.995,7.500762245336965
1.2,38,25.665,7.668064242499565
1.2,39,25.995,7.685052611881272
1.2,40,26.27,7.776204484272288
1.2,41,26.55,7.847528294638458
1.2,42,26.5,7.800489823945377
1.2,43,26.3,7.731715407379593
1.2,44,26.99,7.898897002086738
1.2,45,27.175,7.938099072347978
1.2,46,27.32,7.991772663005445
1.2,47,26.99,7.8992329859838755
1.2,48,27.59,8.051396977697426
1.2,49,27.765,8.095667539212496
1.2,50,28.215,8.211965959767358
1.25,0,1.0,0.0
1.25,1,1.125,0.21079153961903674
1.25,2,1.485,0.36744071844599024
1.25,3,1.725,0.4603957127849363
1.25,4,2.255,0.6562042060549458
1.25,5,2.665,0.8293365371706396
1.25,6,3.22,1.0361367425287265
1.25,7,3.925,1.314800964155487
1.25,8,4.765,1.6448013937274384
1.25,9,5.62,1.934408363105046
1.25,10,6.725,2.286615300478611
1.25,11,7.955,2.6780758344305378
1.25,12,8.785,2.870396133011342
1.25,13,10.615,3.4474122974880093
1.25,14,11.515,3.7154039698256245
1.25,15,12.75,3.962666633648279
1.25,16,14.3,4.399091146611829
1.25,17,15.495,4.66427844157662
1.25,18,17.085,5.061546446719472
1.25,19,18.31,5.393745660652854
1.25,20,20.27,5.909429335744207
1.25,21,21.615,6.145301394627843
1.25,22,22.99,6.539740700356887
1.25,23,23.085,6.542321904705791
1.25,24,24.695,6.935087291874311
1.25,25,25.055,6.970253053183349
1.25,26,26.1,7.186586837772104
1.25,27,26.775,7.30899082406836
1.25,28,27.415,7.445690186534296
1.25,29,28.295,7.637839858002444
1.25,30,29.725,7.997772404723282
1.25,31,29.2,7.810180352333656
1.25,32,29.845,7.963752270766115
1.25,33,30.25,8.064541665287166
1.25,34,30.88,8.18046970777564
1.25,35,30.565,8.040024794576738
1.25,36,31.51,8.283764318771599
1.25,37,31.445,8.252080293292117
1.25,38,31.785,8.3333925633662
1.25,39,32.085,8.393978728617917
1.25,40,32.165,8.424434278578524
1.25,41,31.67,8.28396695711865
1.25,42,32.29,8.437199363926183
1.25,43,32.225,8.425392312380424
1.25,44,32.54,8.509712033515179
1.25,45,32.065,8.382337425506027
1.25,46,32.105,8.4016152067733
1.25,47,31.995,8.36895815157138
1.25,48,32.3,8.441668981809123
1.25,49,32.175,8.412447875866789
1.25,50,32.135,8.409238043701492
1.3,0,1.0,0.0
1.3,1,1.33,0.19710564945551323
1.3,2,1.81,0.33356243576102096
1.3,3,2.35,0.48728468281800796
1.3,4,3.125,0.7278569636540313
1.3,5,4.185,1.0295389464403315
1.3,6,5.255,1.3426468549605248
1.3,7,6.545,1.6792152563343183
1.3,8,7.75,1.9957067653805058
1.3,9,9.445,2.366800128323285
1.3,10,11.535,2.8840592027780154
1.3,11,13.17,3.331450101875989
1.3,12,15.59,3.775070521308333
1.3,13,17.605,4.223374275802501
1.3,14,20.085,4.7292176032783395
1.3,15,22.345,5.134132393508473
1.3,16,24.845,5.586999811552289
1.3,17,27.775,6.154168803432555
1.3,18,30.685,6.6097149516241345
1.3,19,32.33,6.800387180230928
1.3,20,34.5,7.211701064353328
1.3,21,36.285,7.4017201853890455
1.3,22,39.065,7.837742731505632
1.3,23,39.655,7.853779103957514
1.3,24,40.62,7.966864730983822
1.3,25,41.94,8.203271046238733
1.3,26,42.905,8.313817733358391
1.3,27,43.47,8.399729793167452
1.3,28,44.14,8.487641712485939
1.3,29,44.67,8.558812762595409
1.3,30,45.635,8.694428939515937
1.3,31,45.81,8.74317421390306
1.3,32,46.335,8.805932707506663
1.3,33,46.43,8.824960170051206
1.3,34,47.285,8.964226036731873
1.3,35,46.85,8.881677387876344
1.3,36,47.3,8.95664778633487
1.3,37,47.005,8.905899504877695
1.3,38,47.115,8.920409228285159
1.3,39,47.245,8.938192589152429
1.3,40,46.91,8.87578209645455
1.3,41,47.46,8.974664670824993
1.3,42,47.4,8.963700929231564
1.3,43,47.14,8.916054446610836
1.3,44,47.395,8.962181501665626
1.3,45,47.41,8.962520053595483
1.3,46,47.29,8.94238736461174
1.3,47,47.39,8.961143001634639
