seedResourceAcquisitionFitness,turn,seedPopulation,error
1.0,42,275.733,18.114322421445593
1.0,43,275.731,18.114537962191434
1.0,44,275.738,18.113871095033062
1.0,45,275.767,18.111265015429638
1.0,46,275.744,18.113261784202507
1.0,47,275.737,18.114055057751045
1.0,48,275.732,18.11461552746499
1.0,49,275.733,18.114479188195787
1.0,50,275.749,18.113143749896437
1.05,0,1.0,0.0
1.05,1,1.682,0.09146464828943057
1.05,2,2.879,0.2036756133597355
1.05,3,5.159,0.427585484238878
1.05,4,9.547,0.8364419825015332
1.05,5,17.053,1.5479216636484026
1.05,6,29.9,2.722080055047698
1.05,7,49.588,4.406868504669482
1.05,8,76.887,6.586740658593072
1.05,9,110.553,9.086351394269599
1.05,10,148.285,11.69944895834118
1.05,11,186.166,14.169014554097657
1.05,12,217.187,15.983786508339534
1.05,13,238.22,17.007378267887987
1.05,14,250.799,17.553508586866172
1.05,15,258.189,17.75713077472679
1.05,16,261.223,17.773681968658195
1.05,17,263.356,17.754291575911367
1.05,18,265.092,17.705541934850203
1.05,19,265.504,17.6913027113319
1.05,20,266.101,17.664862485734858
1.05,21,266.549,17.644092596581316
1.05,22,266.741,17.632588454177807
1.05,23,266.88,17.625800769255108
1.05,24,266.969,17.62194615408859
1.05,25,266.976,17.62195432160084
1.05,26,267.002,17.620177574406767
1.05,27,267.082,17.615141478336284
1.05,28,267.112,17.611530114917826
1.05,29,267.23,17.603589300892224
1.05,30,267.285,17.598633171698935
1.05,31,267.298,17.597249751002522
1.05,32,267.359,17.593706884742687
1.05,33,267.375,17.592696228804556
1.05,34,267.428,17.58997692767096
1.05,35,267.441,17.589029703047913
1.05,36,267.452,17.58842221653572
1.05,37,267.504,17.585532444656025
1.05,38,267.521,17.583860877473228
1.05,39,267.579,17.579873229933895
1.05,40,267.616,17.577637433227807
1.05,41,267.631,17.57670626458429
1.05,42,267.63,17.57646698839943
1.05,43,267.589,17.57906296301678
1.05,44,267.637,17.575124993826705
1.05,45,267.675,17.572864307857287
1.05,46,267.673,17.572871235416528
1.05,47,267.717,17.56948506713863
1.05,48,267.721,17.56854779266442
1.05,49,267.727,17.56765296897197
1.05,50,267.751,17.565811419624254
1.1,0,1.0,0.0
1.1,1,1.732,0.09387390706664944
1.1,2,3.082,0.21398423464150174
1.1,3,5.58,0.44516113680403535
1.1,4,10.424,0.8853145326354213
1.1,5,19.031,1.6595259593347897
1.1,6,33.599,2.9370917765516573
1.1,7,55.752,4.737855882151344
1.1,8,85.957,7.009416610494043
1.1,9,122.706,9.601513365736821
1.1,10,162.991,12.245945714166481
1.1,11,201.472,14.599844396069017
1.1,12,230.462,16.104855343476174
1.1,13,248.536,16.87999582770476
1.1,14,259.128,17.22051365739
1.1,15,265.219,17.377584755548156
1.1,16,268.209,17.411888449443467
1.1,17,269.395,17.376981858428707
1.1,18,270.74,17.319125460786267
1.1,19,271.267,17.287940396232358
1.1,20,271.791,17.25341831799932
1.1,21,272.28,17.227716305752466
