seedResourceAcquisitionFitness,turn,seedPopulation,error
1.0,33,286.01,57.916139964587074
1.0,34,286.01,57.916139964587074
1.0,35,286.01,57.916139964587074
1.0,36,286.01,57.916139964587074
1.0,37,286.01,57.916139964587074
1.0,38,286.01,57.916139964587074
1.0,39,286.01,57.916139964587074
1.0,40,286.01,57.916139964587074
1.0,41,286.01,57.916139964587074
1.0,42,286.01,57.916139964587074
1.0,43,286.01,57.916139964587074
1.0,44,286.01,57.916139964587074
1.0,45,286.01,57.916139964587074
1.0,46,286.01,57.916139964587074
1.0,47,286.01,57.916139964587074
1.0,48,286.01,57.916139964587074
1.0,49,286.01,57.916139964587074
1.0,50,286.01,57.916139964587074
1.05,0,1.0,0.0
1.05,1,1.74,0.2716736825490462
1.05,2,3.05,0.7160388500939838
1.05,3,5.33,1.484650004116074
1.05,4,9.39,2.622263812904751
1.05,5,17.09,4.924631978035329
1.05,6,29.99,8.450407979080918
1.05,7,49.71,13.341318586876447
1.05,8,77.16,19.457580639293838
1.05,9,112.0,26.871270555271053
1.05,10,151.97,35.083957338769565
1.05,11,192.58,42.976570352083655
1.05,12,230.41,50.039435261618934
1.05,13,257.51,54.437938668861904
1.05,14,273.36,57.26508860735359
1.05,15,279.44,57.34376105813939
1.05,16,282.45,57.32997970439624
1.05,17,284.11,57.07073922010443
1.05,18,285.22,56.86227731332664
1.05,19,286.17,56.730850224910455
1.05,20,285.49,56.83132339922446
1.05,21,286.39,56.68634161410026
1.05,22,286.7,56.66533508709884
1.05,23,286.81,56.65505600960097
1.05,24,287.0,56.62899652291449
1.05,25,286.61,56.675572380134696
1.05,26,286.47,56.71694737572912
1.05,27,286.46,56.7147710479677
1.05,28,286.52,56.6957815644644
1.05,29,286.46,56.71479444538289
1.05,30,286.61,56.66771657206624
1.05,31,286.63,56.66250327350093
1.05,32,286.52,56.69676457672307
1.05,33,286.48,56.710454761648634
1.05,34,286.62,56.669237300329314
1.05,35,286.56,56.68622954266303
1.05,36,286.62,56.667890851691396
1.05,37,286.65,56.659677934569345
1.05,38,286.67,56.65385397564404
1.05,39,286.78,56.62030906119003
1.05,40,286.64,56.661658602323314
1.05,41,286.78,56.62030906119003
1.05,42,286.68,56.64862845025823
1.05,43,286.73,56.63712544284431
1.05,44,286.66,56.65892666906808
1.05,45,286.6,56.67721253778757
1.05,46,286.7,56.65013487517547
1.05,47,286.56,56.68955355169433
1.05,48,286.6,56.67772761979464
1.05,49,286.75,56.63476510620529
1.05,50,286.65,56.66328452604691
1.1,0,1.0,0.0
1.1,1,1.83,0.3027120033244537
1.1,2,3.07,0.668977137602984
1.1,3,5.81,1.3759341413159252
1.1,4,10.88,2.9167852125309217
1.1,5,19.63,5.1894689030458245
1.1,6,34.89,9.267252142398519
1.1,7,56.7,14.628374778689405
1.1,8,88.48,22.203334235615884
1.1,9,125.26,30.25534100396804
1.1,10,165.36,38.33149945205216
1.1,11,201.41,44.97449738457476
1.1,12,228.68,49.39309527195462
1.1,13,246.16,51.949460775544225
1.1,14,256.62,52.93451152510082
1.1,15,261.12,53.04660491271008
1.1,16,263.75,52.951161729380004
1.1,17,265.42,52.90593093730317
1.1,18,266.81,52.76856126496162
1.1,19,267.03,52.72090801412699
1.1,20,267.85,52.59310301200014
1.1,21,267.92,52.58153715062849
1.1,22,268.42,52.504123670435774
1.1,23,268.59,52.482648101464406
1.1,24,268.73,52.43274835299883
1.1,25,268.34,52.50550158055336
1.1,26,268.31,52.51368280896742
1.1,27,268.42,52.482687102256364
1.1,28,268.36,52.499401551899865
1.1,29,268.49,52.46333251074125
1.1,30,268.43,52.48299145914302
1.1,31,268.49,52.46342103778443
1.1,32,268.48,52.46687328627053
1.1,33,268.59,52.43645891233274
1.1,34,268.6,52.4334967748747
1.1,35,268.77,52.39217623966053
1.1,36,268.75,52.39656435303448
1.1,37,268.76,52.39166037285935
1.1,38,268.75,52.397741984540346
1.1,39,268.61,52.43206553288533
1.1,40,268.58,52.43973706743708
1.1,41,268.78,52.38708161867402
1.1,42,268.62,52.42905227413473
1.1,43,268.66,52.41894552314088
1.1,44,268.63,52.425937469717866
1.1,45,268.7,52.41010077043737
