seedResourceAcquisitionFitness,seedMutationProbability,turn,seedPopulation,error
1.8,0.3,16,41.31666666666667,5.043595815663053
1.8,0.3,17,43.181666666666665,5.228202415469909
1.8,0.3,18,43.235,5.199309065367359
1.8,0.3,19,44.016666666666666,5.256960280459182
1.8,0.3,20,44.70166666666667,5.318426705655455
1.8,0.3,21,45.22833333333333,5.379934863521676
1.8,0.3,22,45.64333333333333,5.413665101120181
1.8,0.3,23,45.775,5.417087059104212
1.8,0.3,24,46.083333333333336,5.456922451552572
1.8,0.3,25,46.236666666666665,5.470022159654157
1.8,0.3,26,46.28666666666667,5.467036630634219
1.8,0.3,27,46.47666666666667,5.491411387893564
1.8,0.3,28,46.60166666666667,5.500214563418005
1.8,0.3,29,46.788333333333334,5.516365828318385
1.8,0.3,30,46.748333333333335,5.516587800977639
1.8,0.3,31,46.54833333333333,5.496102901998221
1.8,0.3,32,46.681666666666665,5.517752309498796
1.8,0.3,33,46.833333333333336,5.538041877142589
1.8,0.3,34,46.845,5.540479475134049
1.8,0.3,35,46.72833333333333,5.535297951885873
1.8,0.3,36,46.875,5.557174915294276
1.8,0.3,37,46.815,5.5472711020078265
1.8,0.3,38,46.791666666666664,5.545527386072834
1.8,0.3,39,46.885,5.555707908180246
1.8,0.3,40,46.82833333333333,5.551184929232086
1.8,0.3,41,46.91166666666667,5.562055782485196
1.8,0.3,42,46.945,5.5682203583482135
1.8,0.3,43,46.94,5.563767842849387
1.8,0.3,44,46.96,5.564150760643017
1.8,0.3,45,46.95166666666667,5.5648604773386126
1.8,0.3,46,46.98166666666667,5.567378939540426
1.8,0.3,47,47.01166666666666,5.56981506183655
1.8,0.3,48,47.025,5.569837739163141
1.8,0.3,49,47.06666666666667,5.576826320531062
1.8,0.3,50,47.11666666666667,5.582317013252798
1.8,0.4,0,1.0,0.0
1.8,0.4,1,1.9983333333333333,0.1520853577593173
1.8,0.4,2,2.9833333333333334,0.334302371333417
1.8,0.4,3,4.026666666666666,0.5338173333947713
1.8,0.4,4,5.471666666666667,0.8390853554510729
1.8,0.4,5,7.128333333333333,1.1652849699189831
1.8,0.4,6,9.051666666666666,1.5439787561142593
1.8,0.4,7,11.02,1.9024831810564553
1.8,0.4,8,12.893333333333333,2.2580668594307927
1.8,0.4,9,14.793333333333333,2.572895384895986
1.8,0.4,10,16.635,2.9122224070208773
1.8,0.4,11,18.303333333333335,3.194249886197067
1.8,0.4,12,19.61,3.420185388371369
1.8,0.4,13,20.97833333333333,3.6728449632374947
1.8,0.4,14,22.071666666666665,3.8310786793787557
1.8,0.4,15,23.075,3.9852620601261073
1.8,0.4,16,24.44333333333333,4.215411250402273
1.8,0.4,17,24.801666666666666,4.276224466555327
1.8,0.4,18,25.731666666666666,4.435390159667708
1.8,0.4,19,26.64,4.571063421043334
1.8,0.4,20,27.168333333333333,4.632718889301355
1.8,0.4,21,27.308333333333334,4.625161864354016
