seedResilience,seedMutationProbability,trials,seedSurvivalChance,error
0.0,0.0,300,0.73,0.06602368565046135
0.0,0.1,300,0.5933333333333334,0.07305082314738309
0.0,0.2,300,0.49666666666666665,0.07435613467589519
0.0,0.3,300,0.3566666666666667,0.07123701953434486
0.0,0.4,300,0.20666666666666667,0.060217056229225185
0.0,0.5,300,0.043333333333333335,0.03027943882400518
0.5,0.0,300,0.7366666666666667,0.06550053993479166
0.5,0.1,300,0.69,0.06877994821550915
0.5,0.2,300,0.61,0.07253601177766689
0.5,0.3,300,0.5,0.07435778708952417
0.5,0.4,300,0.3566666666666667,0.07123701953434486
0.5,0.5,300,0.15666666666666668,0.05405605988667664
