seedResourceAcquisitionFitness,resilience,trials,seedSurvivalChance,error
2.2,0.8,20,1.0,0.0
2.2,0.9,20,1.0,0.0
2.2,0.99,20,1.0,0.0
2.25,0.0,20,0.9,0.19191732777711412
2.25,0.4,20,0.95,0.13942470621580205
2.25,0.8,20,1.0,0.0
2.25,0.9,20,0.95,0.13942470621580205
2.25,0.99,20,1.0,0.0
2.3,0.0,20,0.9,0.19191732777711412
2.3,0.4,20,0.95,0.13942470621580205
2.3,0.8,20,0.9,0.19191732777711412
2.3,0.9,20,1.0,0.0
2.3,0.99,20,1.0,0.0
2.35,0.0,20,0.8,0.25588977036948557
2.35,0.4,20,1.0,0.0
2.35,0.8,20,0.95,0.13942470621580205
2.35,0.9,20,1.0,0.0
2.35,0.99,20,1.0,0.0
2.4,0.0,20,0.9,0.19191732777711412
2.4,0.4,20,0.95,0.13942470621580205
2.4,0.8,20,0.95,0.13942470621580205
2.4,0.9,20,1.0,0.0
2.4,0.99,20,1.0,0.0
2.45,0.0,20,0.9,0.19191732777711412
2.45,0.4,20,1.0,0.0
2.45,0.8,20,1.0,0.0
2.45,0.9,20,1.0,0.0
2.45,0.99,20,1.0,0.0
2.5,0.0,20,0.9,0.19191732777711412
2.5,0.4,20,0.85,0.2284273100862434
2.5,0.8,20,0.95,0.13942470621580205
2.5,0.9,20,1.0,0.0
2.5,0.99,20,1.0,0.0
2.55,0.0,20,0.9,0.19191732777711412
2.55,0.4,20,1.0,0.0
2.55,0.8,20,1.0,0.0
2.55,0.9,20,1.0,0.0
2.55,0.99,20,1.0,0.0
2.6,0.0,20,0.95,0.13942470621580205
2.6,0.4,20,0.85,0.2284273100862434
2.6,0.8,20,0.85,0.2284273100862434
2.6,0.9,20,1.0,0.0
2.6,0.99,20,1.0,0.0
2.65,0.0,20,1.0,0.0
2.65,0.4,20,0.95,0.13942470621580205
2.65,0.8,20,0.9,0.19191732777711412
2.65,0.9,20,1.0,0.0
2.65,0.99,20,1.0,0.0
2.7,0.0,20,0.95,0.13942470621580205
2.7,0.4,20,1.0,0.0
2.7,0.8,20,1.0,0.0
2.7,0.9,20,1.0,0.0
2.7,0.99,20,1.0,0.0
2.75,0.0,20,0.95,0.13942470621580205
2.75,0.4,20,1.0,0.0
2.75,0.8,20,1.0,0.0
2.75,0.9,20,1.0,0.0
2.75,0.99,20,1.0,0.0
2.8,0.0,20,0.9,0.19191732777711412
2.8,0.4,20,0.95,0.13942470621580205
2.8,0.8,20,1.0,0.0
2.8,0.9,20,1.0,0.0
2.8,0.99,20,1.0,0.0
2.85,0.0,20,0.9,0.19191732777711412
2.85,0.4,20,1.0,0.0
2.85,0.8,20,1.0,0.0
2.85,0.9,20,1.0,0.0
2.85,0.99,20,1.0,0.0
2.9,0.0,20,0.95,0.13942470621580205
2.9,0.4,20,1.0,0.0
2.9,0.8,20,1.0,0.0
2.9,0.9,20,1.0,0.0
2.9,0.99,20,1.0,0.0
2.95,0.0,20,0.9,0.19191732777711412
2.95,0.4,20,1.0,0.0
2.95,0.8,20,1.0,0.0
2.95,0.9,20,1.0,0.0
2.95,0.99,20,1.0,0.0
3.0,0.0,20,1.0,0.0
3.0,0.4,20,1.0,0.0
3.0,0.8,20,1.0,0.0
3.0,0.9,20,1.0,0.0
3.0,0.99,20,1.0,0.0
3.05,0.0,20,0.9,0.19191732777711412
3.05,0.4,20,0.95,0.13942470621580205
3.05,0.8,20,1.0,0.0
3.05,0.9,20,0.95,0.13942470621580205
3.05,0.99,20,1.0,0.0
3.1,0.0,20,1.0,0.0
3.1,0.4,20,1.0,0.0
3.1,0.8,20,0.95,0.13942470621580205
3.1,0.9,20,1.0,0.0
3.1,0.99,20,1.0,0.0
3.15,0.0,20,0.95,0.13942470621580205
3.15,0.4,20,1.0,0.0
3.15,0.8,20,1.0,0.0
3.15,0.9,20,1.0,0.0
3.15,0.99,20,1.0,0.0
3.2,0.0,20,0.95,0.13942470621580205
3.2,0.4,20,1.0,0.0
3.2,0.8,20,1.0,0.0
3.2,0.9,20,1.0,0.0
3.2,0.99,20,1.0,0.0
