lambda,turn,seedPopulation,error
3.3,11,94.203,1.7045447820654687
3.3,12,94.203,1.7045447820654687
3.3,13,94.203,1.7045447820654687
3.3,14,94.203,1.7045447820654687
3.3,15,94.203,1.7045447820654687
3.3,16,94.203,1.7045447820654687
3.3,17,94.203,1.7045447820654687
3.3,18,94.203,1.7045447820654687
3.3,19,94.203,1.7045447820654687
3.3,20,94.203,1.7045447820654687
3.3,21,94.203,1.7045447820654687
3.3,22,94.203,1.7045447820654687
3.3,23,94.203,1.7045447820654687
3.3,24,94.203,1.7045447820654687
3.3,25,94.203,1.7045447820654687
3.3,26,94.203,1.7045447820654687
3.3,27,94.203,1.7045447820654687
3.3,28,94.203,1.7045447820654687
3.3,29,94.203,1.7045447820654687
3.3,30,94.203,1.7045447820654687
3.3,31,94.203,1.7045447820654687
3.3,32,94.203,1.7045447820654687
3.3,33,94.203,1.7045447820654687
3.3,34,94.203,1.7045447820654687
3.3,35,94.203,1.7045447820654687
3.3,36,94.203,1.7045447820654687
3.3,37,94.203,1.7045447820654687
3.3,38,94.203,1.7045447820654687
3.3,39,94.203,1.7045447820654687
3.3,40,94.203,1.7045447820654687
3.3,41,94.203,1.7045447820654687
3.3,42,94.203,1.7045447820654687
3.3,43,94.203,1.7045447820654687
3.3,44,94.203,1.7045447820654687
3.3,45,94.203,1.7045447820654687
3.3,46,94.203,1.7045447820654687
3.3,47,94.203,1.7045447820654687
3.3,48,94.203,1.7045447820654687
3.3,49,94.203,1.7045447820654687
3.3,50,94.203,1.7045447820654687
3.9,0,1.0,0.0
3.9,1,3.923,0.1548729230380519
3.9,2,15.3,0.6752702450143815
3.9,3,56.949,2.2934348622469543
3.9,4,91.826,1.6434148742704764
3.9,5,96.423,1.187784329971393
3.9,6,96.701,1.155125471648617
3.9,7,96.714,1.1548112532954349
3.9,8,96.714,1.1548112532954349
3.9,9,96.714,1.1548112532954349
3.9,10,96.714,1.1548112532954349
3.9,11,96.714,1.1548112532954349
3.9,12,96.714,1.1548112532954349
3.9,13,96.714,1.1548112532954349
3.9,14,96.714,1.1548112532954349
3.9,15,96.714,1.1548112532954349
3.9,16,96.714,1.1548112532954349
3.9,17,96.714,1.1548112532954349
3.9,18,96.714,1.1548112532954349
3.9,19,96.714,1.1548112532954349
3.9,20,96.714,1.1548112532954349
3.9,21,96.714,1.1548112532954349
3.9,22,96.714,1.1548112532954349
3.9,23,96.714,1.1548112532954349
3.9,24,96.714,1.1548112532954349
3.9,25,96.714,1.1548112532954349
3.9,26,96.714,1.1548112532954349
3.9,27,96.714,1.1548112532954349
3.9,28,96.714,1.1548112532954349
3.9,29,96.714,1.1548112532954349
3.9,30,96.714,1.1548112532954349
3.9,31,96.714,1.1548112532954349
3.9,32,96.714,1.1548112532954349
3.9,33,96.714,1.1548112532954349
3.9,34,96.714,1.1548112532954349
3.9,35,96.714,1.1548112532954349
3.9,36,96.714,1.1548112532954349
3.9,37,96.714,1.1548112532954349
3.9,38,96.714,1.1548112532954349
3.9,39,96.714,1.1548112532954349
3.9,40,96.714,1.1548112532954349
3.9,41,96.714,1.1548112532954349
3.9,42,96.714,1.1548112532954349
3.9,43,96.714,1.1548112532954349
3.9,44,96.714,1.1548112532954349
3.9,45,96.714,1.1548112532954349
3.9,46,96.714,1.1548112532954349
3.9,47,96.714,1.1548112532954349
3.9,48,96.714,1.1548112532954349
3.9,49,96.714,1.1548112532954349
3.9,50,96.714,1.1548112532954349
