lambda,turn,seedPopulation,error
0.95,42,0.1055,0.03907601608655627
0.95,43,0.1057,0.04008645482456484
0.95,44,0.0991,0.03878893779151156
0.95,45,0.0927,0.03704277821752597
0.95,46,0.0848,0.03569367997552855
0.95,47,0.0768,0.03164080776260133
0.95,48,0.0772,0.03292268753439754
0.95,49,0.0678,0.03041882273536805
1.0,0,1.0,0.0
1.0,1,1.0036,0.025662642845026173
1.0,2,1.0159,0.03677258812437856
1.0,3,1.0197,0.04583899329980168
1.0,4,1.0178,0.05279936866748702
1.0,5,1.0131,0.05762452202304624
1.0,6,1.0244,0.06393976592238415
1.0,7,1.0253,0.07014139704427602
1.0,8,1.0461,0.07679849124779381
1.0,9,1.0397,0.08088154836392947
1.0,10,1.0316,0.08462374108274417
1.0,11,1.0178,0.08744507310617944
1.0,12,1.0202,0.0901392758077948
1.0,13,1.0226,0.09413339640325913
1.0,14,1.0332,0.09853918328502465
1.0,15,1.0261,0.10115442307251621
1.0,16,1.0141,0.10373495331782323
1.0,17,1.0114,0.10640909554288369
1.0,18,1.0123,0.10872181178646112
1.0,19,1.0302,0.1133022021063067
1.0,20,1.0379,0.11834432825674035
1.0,21,1.0299,0.12148962736411206
1.0,22,1.0252,0.12281322076398715
1.0,23,1.0257,0.12565886852658992
1.0,24,1.0266,0.127884911787018
1.0,25,1.0399,0.13168537278937786
1.0,26,1.0393,0.13277932982023444
1.0,27,1.043,0.13639095455767536
1.0,28,1.0595,0.1417814688967468
1.0,29,1.0688,0.14483644826258524
1.0,30,1.0904,0.1505061004051551
1.0,31,1.0887,0.15127868155006274
1.0,32,1.0966,0.1550171407258274
1.0,33,1.108,0.15948593211377837
1.0,34,1.1263,0.163526718211769
1.0,35,1.1188,0.16321184301792857
1.0,36,1.1392,0.16771600889345029
1.0,37,1.1389,0.16838400620635796
1.0,38,1.1324,0.16933343984069738
1.0,39,1.1466,0.17369286741120438
1.0,40,1.1432,0.17554781044952328
1.0,41,1.133,0.17646688853847137
1.0,42,1.1417,0.17930366304208922
1.0,43,1.149,0.18056324389624945
1.0,44,1.1351,0.18019955409469446
1.0,45,1.1507,0.18317060591145495
1.0,46,1.1373,0.18294962260148284
1.0,47,1.1634,0.18758069114730658
1.0,48,1.163,0.18878426936187487
1.0,49,1.1836,0.1956133192950934
1.05,0,1.0,0.0
1.05,1,1.0194,0.025881940532631376
1.05,2,1.0836,0.03836006638550482
1.05,3,1.1483,0.04940832140262619
1.05,4,1.22,0.06027110326731311
1.05,5,1.2855,0.07162838852625875
1.05,6,1.3507,0.08034981298926813
1.05,7,1.4132,0.08969311991350426
1.05,8,1.4708,0.09866787145055245
1.05,9,1.5386,0.1076058974342966
1.05,10,1.5917,0.11636760704966465
1.05,11,1.6643,0.12714896031718204
1.05,12,1.7582,0.13845204171444214
1.05,13,1.8561,0.1499136920931996
1.05,14,1.9591,0.16172685809444753
1.05,15,2.06,0.1751082786328375
1.05,16,2.1368,0.185279109521006
1.05,17,2.2457,0.1982601132124744
1.05,18,2.3692,0.2117555593585041
1.05,19,2.5079,0.2266813757456645
1.05,20,2.6186,0.23978734366240406
1.05,21,2.7563,0.25298618712513
1.05,22,2.9199,0.2707755134975791
1.05,23,3.0146,0.28110758988100404
1.05,24,3.1669,0.29836181668998396
1.05,25,3.3105,0.3129956842054784
1.05,26,3.4716,0.32985482462805127
1.05,27,3.5863,0.34135885912825126
1.05,28,3.7172,0.35380928237565135
1.05,29,3.8515,0.3672175537528708
1.05,30,4.0326,0.3820627303410795
1.05,31,4.1743,0.3962940962534587
1.05,32,4.3236,0.40958997356469906
1.05,33,4.4876,0.424059151592048
1.05,34,4.6123,0.435453210640798
1.05,35,4.7662,0.44834596401054494
1.05,36,4.9175,0.4605929205908321
1.05,37,5.0566,0.47265674360846077
1.05,38,5.2118,0.48422723208590224
1.05,39,5.3556,0.49517231532704464
1.05,40,5.5324,0.5096509525184088
1.05,41,5.645,0.5179599967823574
1.05,42,5.7941,0.5274681494084286
1.05,43,5.8887,0.5342916454137363
1.05,44,6.0254,0.5442266836456273
1.05,45,6.1533,0.5537758634730006
1.05,46,6.2566,0.5607303851794336
1.05,47,6.3578,0.5682669302687273
1.05,48,6.4697,0.5755665546148965
1.05,49,6.5882,0.582809839021718
1.1,0,1.0,0.0
1.1,1,1.1078,0.02723541100974347
1.1,2,1.2281,0.04184173180190598
1.1,3,1.3545,0.054878040289545016
1.1,4,1.4982,0.06896201154239545
1.1,5,1.6456,0.0830080751782254
1.1,6,1.8083,0.09837021326964734
1.1,7,1.9801,0.11297384120205067
1.1,8,2.1841,0.1310046808800669
1.1,9,2.4009,0.1489693174856752
1.1,10,2.6506,0.1692904304801366
1.1,11,2.9103,0.19037601149796668
1.1,12,3.2074,0.21609194569724188
1.1,13,3.5255,0.24166626245025924
1.1,14,3.8506,0.2681819080545784
1.1,15,4.1906,0.29453712292059864
1.1,16,4.5873,0.32468241901520134
1.1,17,5.0263,0.35718311591674645
1.1,18,5.4958,0.39219467551151865
1.1,19,6.0,0.429058168791145
1.1,20,6.4888,0.4632401630398233
1.1,21,6.9843,0.49435623980307053
1.1,22,7.5365,0.5277988436521177
1.1,23,8.0288,0.5574023018649115
1.1,24,8.5469,0.5848062923028783
1.1,25,9.0848,0.6138634171460353
1.1,26,9.5945,0.6402819835043481
1.1,27,10.1086,0.6663980586070917
1.1,28,10.5919,0.6911373654065525
1.1,29,11.0482,0.712379613851418
1.1,30,11.4718,0.7315804186051782
1.1,31,11.8883,0.7508320281590741
1.1,32,12.2768,0.7679575696153353
1.1,33,12.6581,0.7845090638741521
1.1,34,13.0496,0.8007460549014525
1.1,35,13.4207,0.8165448412977536
1.1,36,13.7529,0.8306549265188803
1.1,37,14.0936,0.8443880564454496
1.1,38,14.3663,0.8556871311319529
1.1,39,14.6077,0.8652981660722467
