lambda,turn,seedPopulation,error
0.95,44,0.072,0.0902208252482676
0.95,45,0.081,0.10978107736337064
0.95,46,0.067,0.09891020180986586
0.95,47,0.065,0.09311453702725209
0.95,48,0.056,0.08075395354325454
0.95,49,0.06,0.08411571633962955
1.0,0,1.0,0.0
1.0,1,0.974,0.08126420998517636
1.0,2,0.949,0.11404843121124197
1.0,3,0.929,0.1385202113028734
1.0,4,0.934,0.16130623808772937
1.0,5,0.903,0.18343795105612626
1.0,6,0.84,0.18664367418694316
1.0,7,0.829,0.1968742414158975
1.0,8,0.805,0.19913967739224836
1.0,9,0.792,0.20562695452105872
1.0,10,0.792,0.2176344991539434
1.0,11,0.727,0.20384025007807938
1.0,12,0.743,0.21939883712197628
1.0,13,0.753,0.23703215963952695
1.0,14,0.702,0.22578133453715743
1.0,15,0.688,0.2367333715055726
1.0,16,0.693,0.2557313506534004
1.0,17,0.673,0.27284429798168164
1.0,18,0.663,0.292233834098961
1.0,19,0.651,0.3020778927665319
1.0,20,0.654,0.3109430777179576
1.0,21,0.659,0.3114380981902892
1.0,22,0.687,0.3470688022184287
1.0,23,0.689,0.35455126870327175
1.0,24,0.653,0.35444189011405924
1.0,25,0.661,0.36681906606056025
1.0,26,0.636,0.3620254915718767
1.0,27,0.638,0.37048051777370883
1.0,28,0.674,0.3821937366527886
1.0,29,0.651,0.3813201795811539
1.0,30,0.673,0.39891331283444453
1.0,31,0.678,0.4126179145523498
1.0,32,0.689,0.40750465428815735
1.0,33,0.705,0.4153078450592192
1.0,34,0.698,0.4090040274650621
1.0,35,0.678,0.4049734198825502
1.0,36,0.693,0.41188107397919826
1.0,37,0.711,0.41987976338614674
1.0,38,0.739,0.4355427945647922
1.0,39,0.715,0.4397339351112523
1.0,40,0.713,0.43656036992320846
1.0,41,0.701,0.42871580918826946
1.0,42,0.695,0.42782016287612745
1.0,43,0.685,0.4181244223735009
1.0,44,0.676,0.41337866562852493
1.0,45,0.635,0.396976789265721
1.0,46,0.589,0.3769528747261411
1.0,47,0.548,0.36083402540485776
1.0,48,0.562,0.3631659533587495
1.0,49,0.584,0.3810220478827118
1.05,0,1.0,0.0
1.05,1,1.011,0.07842031832795593
1.05,2,1.046,0.11769831967758326
1.05,3,1.083,0.13914512120553357
1.05,4,1.175,0.17913360390715072
1.05,5,1.309,0.22013199083412172
1.05,6,1.379,0.24975396868534494
1.05,7,1.481,0.28733648933860634
1.05,8,1.543,0.3137456419492348
1.05,9,1.613,0.34258753426909605
1.05,10,1.698,0.3786100732233053
1.05,11,1.71,0.40477336025973565
1.05,12,1.871,0.47448676840743564
1.05,13,1.991,0.5096818313351563
1.05,14,2.053,0.5467569556218399
1.05,15,2.224,0.6001948919426456
1.05,16,2.326,0.6531732465490332
1.05,17,2.44,0.6868071002192995
1.05,18,2.554,0.7475369246793928
1.05,19,2.733,0.7968256695452327
1.05,20,2.87,0.8506989717008286
1.05,21,3.004,0.8973798326800089
1.05,22,3.21,0.9445109813534449
1.05,23,3.453,1.011254283759535
1.05,24,3.652,1.0587031205541382
1.05,25,3.808,1.0991131429370116
1.05,26,4.109,1.1952156592133365
1.05,27,4.313,1.2461824661795804
1.05,28,4.352,1.2654955153345133
1.05,29,4.524,1.3241652362317309
1.05,30,4.575,1.3482205905941345
1.05,31,4.681,1.3804888885276156
1.05,32,4.87,1.4284108062245617
1.05,33,4.952,1.444495346363909
1.05,34,5.065,1.4702159795481609
1.05,35,5.309,1.5278631318103173
1.05,36,5.447,1.5631383381007353
1.05,37,5.593,1.5930819165406183
1.05,38,5.76,1.6277863560541563
1.05,39,5.964,1.6743102561546586
1.05,40,6.145,1.7201448550395417
1.05,41,6.265,1.7511751887396256
1.05,42,6.282,1.7646263346089057
1.05,43,6.403,1.7850229285694654
1.05,44,6.527,1.8092652733673447
1.05,45,6.619,1.8292230335407043
1.05,46,6.717,1.8563473196673081
1.05,47,6.814,1.877373894253168
1.05,48,6.844,1.8823826126614431
1.05,49,6.898,1.8953756393737642
1.1,0,1.0,0.0
1.1,1,1.059,0.08564463938545352
1.1,2,1.168,0.12602561741965856
1.1,3,1.32,0.16995789432152297
1.1,4,1.489,0.21725526828405384
1.1,5,1.594,0.2572886540666557
1.1,6,1.744,0.30811552891640237
1.1,7,1.881,0.35517350810113
1.1,8,2.086,0.4137122190575113
1.1,9,2.277,0.46370845054071896
1.1,10,2.572,0.5386921679567007
1.1,11,2.85,0.6206171928283837
1.1,12,3.122,0.6898468876180077
1.1,13,3.488,0.7800972765114329
1.1,14,3.785,0.8443487323520982
1.1,15,4.305,0.9733566968865053
1.1,16,4.778,1.0852305915581426
1.1,17,5.183,1.180695392801601
1.1,18,5.598,1.2700755721029102
1.1,19,6.127,1.384087957684697
1.1,20,6.573,1.4773154031448845
1.1,21,7.142,1.598284618592488
1.1,22,7.597,1.6736956910307939
1.1,23,8.087,1.7730940077667974
1.1,24,8.584,1.8622852966384569
1.1,25,9.062,1.9422814612355515
1.1,26,9.649,2.0379088263255074
1.1,27,10.144,2.1165846028208826
1.1,28,10.574,2.1872090330283775
1.1,29,10.902,2.242502251463188
1.1,30,11.338,2.302880362608592
1.1,31,11.732,2.359667971326731
1.1,32,12.058,2.4012209527683392
1.1,33,12.377,2.4463041199856637
1.1,34,12.854,2.50445153685558
1.1,35,13.163,2.540739884096366
1.1,36,13.545,2.590805395877874
1.1,37,13.853,2.6272643090614185
1.1,38,14.084,2.6624693541272286
1.1,39,14.307,2.6892777441595914
1.1,40,14.618,2.728928042037378
1.1,41,14.833,2.7577968339592243
1.1,42,15.031,2.785859170935801
1.1,43,15.226,2.806423563908252
1.1,44,15.422,2.828907878911936
1.1,45,15.609,2.854118969394319
1.1,46,15.731,2.8710510934052778
1.1,47,15.925,2.8927186672837646
1.1,48,16.06,2.9083204910152034
1.1,49,16.12,2.9146548330193944
1.15,0,1.0,0.0
1.15,1,1.185,0.08775888617143224
1.15,2,1.31,0.13784658274931827
1.15,3,1.503,0.18822934982457928
1.15,4,1.757,0.2453665149276345
1.15,5,2.039,0.30544469093836146
1.15,6,2.347,0.37384673761824105
1.15,7,2.749,0.4482831043178339
1.15,8,3.11,0.5300572308507676
1.15,9,3.602,0.6234762558128448
1.15,10,4.138,0.7261872518919046
1.15,11,4.714,0.8341957676871861
1.15,12,5.478,0.9633102808140652
1.15,13,6.246,1.1110740020265801
1.15,14,7.113,1.274903405203581
1.15,15,8.086,1.435813104121582
1.15,16,9.105,1.6212548232140893
1.15,17,10.36,1.8291007232090806
1.15,18,11.542,2.012427099882064
1.15,19,12.862,2.2068333277941807
1.15,20,14.021,2.364247288036921
1.15,21,15.098,2.5125500385848447
1.15,22,16.013,2.6129383486760496
1.15,23,17.174,2.74156310814174
1.15,24,18.088,2.8335834698616083
1.15,25,19.063,2.9430865082198956
1.15,26,19.819,3.0240809096372843
1.15,27,20.463,3.0761405429244277
1.15,28,21.019,3.1263253560758635
1.15,29,21.557,3.1703936066045806
1.15,30,22.053,3.212911294389947
1.15,31,22.565,3.2557726094838024
1.15,32,23.0,3.2885987076055017
1.15,33,23.471,3.328773976484353
1.15,34,23.772,3.355521687671974
1.15,35,24.09,3.37966660226715
1.15,36,24.35,3.4009722032254217
1.15,37,24.652,3.4226761578569516
1.15,38,24.936,3.444574293886511
1.15,39,25.164,3.4654689982768403
1.15,40,25.43,3.4888493988108635
1.15,41,25.578,3.502777367200938
1.15,42,25.724,3.5155793894514282
1.15,43,25.813,3.5231620634336274
1.15,44,25.894,3.5297234392360863
1.15,45,25.952,3.5353402131747345
1.15,46,25.99,3.539626146060616
1.15,47,26.03,3.5431907036486407
1.15,48,26.039,3.544050466927313
1.15,49,26.054,3.5446528694294734
1.2,0,1.0,0.0
1.2,1,1.184,0.08901135863882703
1.2,2,1.419,0.13970019192259997
1.2,3,1.771,0.2024044478807343
1.2,4,2.159,0.2792574264768235
1.2,5,2.599,0.3531817895130245
1.2,6,3.091,0.43968069989255865
1.2,7,3.61,0.5396340874418155
1.2,8,4.428,0.6926098745538214
1.2,9,5.278,0.8393675482540441
1.2,10,6.31,1.0097247584414593
1.2,11,7.61,1.2263379670700134
1.2,12,9.036,1.472596688252347
1.2,13,10.664,1.7374863276596155
1.2,14,12.441,2.004009300611319
1.2,15,14.108,2.231400258530151
1.2,16,15.882,2.4482767372515557
1.2,17,17.769,2.6593533859600615
1.2,18,19.279,2.813719680468278
1.2,19,20.686,2.9444820718887854
1.2,20,21.916,3.0524467840629264
1.2,21,23.226,3.1691085679746394
1.2,22,24.325,3.2557355197295585
1.2,23,25.304,3.334651131091487
1.2,24,26.104,3.393871073332342
1.2,25,26.857,3.447778602922476
1.2,26,27.4,3.4843478253862443
1.2,27,27.944,3.520016462665957
1.2,28,28.456,3.5514139113004894
1.2,29,28.99,3.5839477456475457
1.2,30,29.394,3.6133760315500787
1.2,31,29.732,3.6392176361475066
1.2,32,30.03,3.659470366100681
1.2,33,30.292,3.676108880751368
1.2,34,30.495,3.6859298090360717
1.2,35,30.697,3.697842453988283
1.2,36,30.853,3.7085049117997357
1.2,37,31.013,3.720293751901071
1.2,38,31.168,3.7315150860444746
1.2,39,31.241,3.7377270657578343
1.2,40,31.33,3.7463337271548127
1.2,41,31.36,3.7495284673568925
1.2,42,31.36,3.7495284673568925
1.2,43,31.36,3.7495284673568925
1.2,44,31.36,3.7495284673568925
1.2,45,31.36,3.7495284673568925
1.2,46,31.36,3.7495284673568925
1.2,47,31.36,3.7495284673568925
1.2,48,31.36,3.7495284673568925
1.2,49,31.36,3.7495284673568925
1.25,0,1.0,0.0
1.25,1,1.217,0.08907719028474048
1.25,2,1.522,0.15415248403740733
1.25,3,1.891,0.2201862371183938
1.25,4,2.382,0.3089285628769711
1.25,5,3.064,0.4277730838962306
1.25,6,3.909,0.5536338626488018
1.25,7,4.9,0.7153296412591601
1.25,8,6.095,0.9181448615952359
1.25,9,7.55,1.1713525344901434
1.25,10,9.483,1.4656937517048814
1.25,11,11.648,1.7604697463573462
1.25,12,14.086,2.066387684833309
1.25,13,16.672,2.356328347822002
1.25,14,19.09,2.604847293934423
1.25,15,21.59,2.8240158342648556
1.25,16,23.884,3.020992680004511
1.25,17,26.009,3.188132678807328
1.25,18,27.959,3.3329213848438677
1.25,19,29.845,3.4726372841167112
1.25,20,31.259,3.5707980530677865
1.25,21,32.517,3.6510867203465125
1.25,22,33.35,3.699069802430248
1.25,23,34.073,3.7427160279702036
1.25,24,34.653,3.776134651255248
1.25,25,35.103,3.8015456786136497
1.25,26,35.504,3.8285420000384605
1.25,27,35.778,3.844360054863319
1.25,28,35.988,3.855235944830838
1.25,29,36.109,3.860675025988975
1.25,30,36.214,3.865460968502809
1.25,31,36.294,3.871573038915443
1.25,32,36.394,3.8778105090855988
1.25,33,36.441,3.880565726240633
1.25,34,36.472,3.8814775253726665
1.25,35,36.481,3.881947936238319
1.25,36,36.51,3.8828453681294164
1.25,37,36.558,3.883647328105333
1.25,38,36.601,3.8860888847233213
1.25,39,36.618,3.8868129682497212
1.25,40,36.647,3.889053918194101
1.25,41,36.65,3.8891196933063057
1.25,42,36.665,3.889678607640114
1.25,43,36.676,3.8903320749800727
1.25,44,36.698,3.8922568950915206
1.25,45,36.698,3.8922568950915206
1.25,46,36.698,3.8922568950915206
